map,field,row,values
LPC,polyeff_Map,3,0.8451504146089284 0.8664579763088591 0.8832912607114235 0.8944707347561565 0.8987079765478048 0.8938106895069358 0.8692814334477469 0.8091573072814378 0.6990990355929406 0.5156968963771595 0.21871035379217638
LPC,polyeff_Map,4,0.861707750677499 0.8825570862395365 0.8991839635930781 0.9106110325635342 0.9156554439741105 0.9123300370784454 0.8909874338195839 0.8371963209863182 0.7382853368313724 0.5743461385360203 0.31186408910722263
LPC,polyeff_Map,5,0.8727798251390835 0.8932280307305249 0.9098018903833912 0.9214432414622237 0.9269761945285105 0.924814294250305 0.9056750902164054 0.8562765696621577 0.7655842052870044 0.6160925326156791 0.3795045049566582
LPC,polyeff_Map,6,0.8772679092928718 0.8976378464742064 0.9140736236814646 0.9257122691283753 0.9314796587495235 0.9297014105676502 0.9116230100849698 0.8645899749302253 0.7784489477129245 0.6372564613063224 0.41583475454312896
LPC,polyeff_Map,7,0.8824221962747169 0.9022363053350381 0.9182448674232848 0.9295921346111523 0.9353059462386133 0.9339095865218907 0.9170856936604368 0.8731097646789018 0.7929223499590905 0.6624734423197975 0.4603864728482924
LPC,polyeff_Map,8,0.8921089780630004 0.9095186731891479 0.923527547016086 0.9333784018609835 0.9382946929173178 0.9370062972515406 0.9226918020373278 0.886138907750129 0.820480129482149 0.716128341458069 0.5589863631441612
LPC,polyeff_Map,9,0.9029703567463592 0.9174644517779101 0.9289539964546855 0.9369650636931182 0.940730122317797 0.9394616267599876 0.9279204606577475 0.8991112452516069 0.848641966706996 0.7704230529482472 0.6561427671084186
LPC,polyeff_Map,10,0.9146557158518818 0.9243745598120423 0.9318366997045925 0.936847612875921 0.938839244911387 0.937414067239688 0.9292760172778869 0.9103026813370725 0.8785935901605108 0.831384478125596 0.765282515039481
LPC,polyeff_Map,11,0.9254693452208981 0.930170095135643 0.9336162219166131 0.9356191080396477 0.9358977152527821 0.9345280844062543 0.92984332773674 0.9200567017038 0.904543051585833 0.882652314728834 0.8535158202781216
LPC,polyeff_Map,12,0.9250241405467416 0.9259811162196 0.9263099983424158 0.926276548883608 0.9256099671049465 0.9243961257930239 0.922178581615365 0.9184958374320952 0.9133359212964997 0.906414068689746 0.8978055455181533
LPC,polyeff_Map,13,0.9167752812337506 0.9165467455020592 0.9161401465838513 0.9158206927120144 0.915322814107879 0.9148235734100648 0.9142339340535706 0.9134635981100612 0.912512127448447 0.9114687865983776 0.9102435077817415
