map,pratio,mb,piD,mbD,NbD,epol0,Nb,epol,dNb_dpi,dNb_dmb,depol_dpi,depol_dmb,N,R
Fan,1.68,1.0,1.68,1.0,1.0,0.9,1.0000000000000002,0.8693488619036531,0.003080526382238742,2.421771711971119,0.36367210621467294,-1.7722954262409867,0.9900000000000001,2.2000000000000015
Fan,1.68,1.15,1.68,1.0,1.0,0.9,1.324140962106994,0.4479395573834401,0.014418195648793396,1.6184657071274466,0.6361144161560193,-2.335400200056534,1.310899552485924,3.28526699806301
Fan,1.848,0.55,1.68,1.0,1.0,0.9,1.0156795759259138,0.5345589394298446,0.5379597646989873,0.012234846289659715,-0.21355449113334327,0.9670684637644765,1.0055227801666546,0.6817555235120948
Fan,1.848,0.8,1.68,1.0,1.0,0.9,1.018736165985787,0.7757819792036481,0.5375911484406357,0.012217911798581102,-0.3080886110574156,0.9627254995728749,1.008548804325929,0.9879264755957542
Fan,1.848,1.0,1.68,1.0,1.0,0.9,1.0508993868037524,0.8703959485552661,0.5187616457315215,0.7428551472771769,-0.1365199020690727,0.17333662442903772,1.0403903929357148,1.7802018124148007
Fan,1.848,1.15,1.68,1.0,1.0,0.9,1.3265447716742775,0.5539929052979847,0.014199872846693095,1.6064094331674474,0.6264822620935795,-2.867309313921525,1.3132793239575347,3.1129848643744453
LPC,1.7999999999999998,0.55,3.0,1.0,1.0,0.9,0.6657800596481475,0.8438324530794462,0.2439809045644981,0.32674258122875394,-0.16701622945939718,0.545977357930455,0.6657800596481475,1.126591280910088
LPC,1.7999999999999998,0.8,3.0,1.0,1.0,0.9,0.8054423107884415,0.8576005072054336,0.0477303774727672,0.7968907039732178,0.28450883001884203,-0.7949035709890222,0.8054423107884415,2.298610572789798
LPC,1.7999999999999998,1.0,3.0,1.0,1.0,0.9,0.9923701194184448,0.46051987127408434,0.006751083755262798,0.946561804929525,0.5583258145606292,-2.4289818529516145,0.9923701194184448,3.426986389794557
LPC,1.7999999999999998,1.15,3.0,1.0,1.0,0.9,1.2236484094724336,0.1905599967055338,0.004683708990924101,1.5661508973336704,0.2356962213569626,-0.6531188911975636,1.2236484094724336,3.760187137640834
LPC,2.55,0.55,3.0,1.0,1.0,0.9,0.8516450080671092,0.6285263936885812,0.1860679663550932,0.009162874607583069,-0.1744361328605649,1.1341851936345078,0.8516450080671092,0.7361295055329962
