map,N,R,Wc,PR,polyeff,dWc_dN,dWc_dR,dPR_dN,dPR_dR,dpe_dN,dpe_dR
Fan,1.0,1.1,670.5025,1.84265,0.8296056840775101,944.1200000000008,266.9350000000004,2.100999999999999,0.045499999999998764,0.5956452528703675,0.18154310242476868
Fan,1.0,1.75,787.044,1.8035,0.906272929541729,531.5899999999983,106.12000000000035,1.5235000000000056,-0.15000000000000036,-0.14906503485952527,0.05825241922620261
Fan,1.0,2.2,806.892,1.7006,0.900328800157904,333.58000000000175,14.710000000000036,1.553999999999995,-0.2655000000000012,-0.18135249245321816,-0.05017985771705824
Fan,1.0,2.63,806.892,1.55679,0.8338177224630673,327.1800000000003,0.0,1.8395999999999972,-0.38700000000000045,0.3961441553987477,-0.26750160920709076
Fan,1.0,3.0,806.892,1.4073,0.7138964760685146,327.1800000000003,0.0,2.2079999999999984,-0.41849999999999987,1.664271150694983,-0.37222986414673676
Fan,1.0,3.5,810.9264600000001,1.20365,0.3569482380342573,328.8159000000014,8.068920000000048,1.1039999999999992,-0.4073,0.8321355753474915,-0.7138964760685146
Fan,1.12,0.5,369.72650000000004,2.0662197,0.4243635102670301,389.300000000002,739.4530000000001,1.6200600000000023,-0.020559399999999964,0.09483677153294146,0.8487270205340602
Fan,1.12,1.1,755.8989000000001,2.05014,0.8571496188345407,684.1700000000055,164.45899999999983,1.5420000000000087,-0.05799999999999954,0.12765374056002443,0.08422598300480372
Fan,1.12,1.75,825.87535,1.9703000000000002,0.8899249859156977,280.08000000000175,60.78499999999946,1.3150000000000048,-0.1772000000000002,-0.1477002337319604,0.01910862534645881
Fan,1.12,2.2,835.8298,1.8694000000000002,0.8825145927184375,219.34000000000015,4.437999999999917,1.4000000000000057,-0.24599999999999936,-0.15091271790704042,-0.0346072184642713
Fan,1.12,2.63,835.8298,1.7455590000000003,0.8469184227030044,219.3399999999965,0.0,1.6247000000000043,-0.32070000000000143,0.04538248803443423,-0.13197970059878134
Fan,1.12,3.0,835.8298,1.6227600000000002,0.7896153810384785,219.34000000000015,0.0,1.8980000000000103,-0.3413999999999988,0.4201206199832459,-0.17433246281366505
Fan,1.12,3.5,840.0089489999999,1.3113800000000002,0.39480769051923925,220.43670000000202,8.35829799999999,0.9490000000000052,-0.6227600000000002,0.21006030999162295,-0.7896153810384785
Fan,1.4,0.5,455.05314705882347,2.4211828235294113,0.3015590212327188,294.590588235294,910.1062941176469,1.2254452941176468,-0.01485388235294128,-0.5025983687211979,0.6031180424654377
Fan,1.4,1.1,919.7154705882353,2.4081794117647055,0.6077500454480057,573.1658823529409,96.09176470588244,1.2471176470588228,-0.05576470588235339,-1.0129167424133425,0.046320029825680446
Fan,1.4,1.75,960.5534117647057,2.3470147058823527,0.6250545733438156,505.10264705882344,35.41058823529345,1.3490588235294112,-0.12635294117647078,-1.0417576222396925,0.008615839529758314
Fan,1.4,2.2,966.2938235294116,2.277591176470588,0.6197556784808657,495.5352941176469,2.421176470588441,1.4647647058823523,-0.1672941176470589,-1.0329261308014426,-0.022014116134794023
Fan,1.4,2.63,966.2938235294116,2.1949323529411764,0.5987858098899088,495.535294117647,0.0,1.6025294117647046,-0.21176470588235347,-0.9979763498165144,-0.07561248245842123
Fan,1.4,3.0,966.2938235294116,2.1140382352941174,0.5662722350385712,495.5352941176469,0.0,1.7373529411764699,-0.22447058823529387,-0.9437870583976185,-0.0982972641670299
Fan,1.4,3.5,969.2670352941175,1.5555485294117646,0.2831361175192856,490.57994117647047,5.946423529411732,0.8627941176470584,-1.1169794117647056,-0.4718935291988092,-0.5662722350385712
LPC,0.15,0.5,4.47675,1.0315695,0.20219903191759062,29.845000000000002,8.9535,0.2771300000000001,-0.005338999999999983,1.3479935461172707,0.40439806383518123
LPC,0.15,1.1,9.311499999999999,1.028175,0.40985530957551,62.07666666666666,3.5799999999999983,0.2544999999999997,-0.007250000000000423,2.7323687305034,0.05457245740328798
LPC,0.15,1.75,11.57875,1.0217125,0.42957481162742256,77.19166666666666,3.405000000000001,0.2114166666666666,-0.012249999999999872,2.8638320775161503,0.004728509532534453
LPC,0.15,2.2,13.0705,1.0151,0.40901304198605837,87.13666666666667,3.269999999999996,0.1673333333333331,-0.01650000000000018,2.726753613240389,-0.08162834249647055
